student_id,name,gender,age,grade_level,math_score,english_score,science_score,attendance_rate,teacher_remark
STU0001,Danielle Johnson,Male,9,Nursery 1,52,69,84,99.93,Needs Improvement
STU0002,Joshua Walker,Female,10,Primary 4,63,88,50,96.1,Needs Improvement
STU0003,Jill Rhodes,Male,9,Primary 1,88,68,77,86.3,Outstanding
STU0004,Patricia Miller,Female,5,Nursery 1,78,86,74,82.14,Excellent
STU0005,Robert Johnson,Female,10,Primary 1,79,69,74,93.12,Outstanding
STU0006,Jeffery Wagner,Female,5,Nursery 1,93,60,53,84.39,Satisfactory
STU0007,Anthony Gonzalez,Female,10,Primary 1,96,50,83,81.86,Good
STU0008,Debra Gardner,Male,7,KG,54,83,53,99.78,Outstanding
STU0009,Jeffrey Lawrence,Male,8,KG,57,92,63,91.54,Needs Improvement
STU0010,Lisa Smith,Female,8,Primary 3,52,74,69,98.56,Needs Improvement
STU0011,Linda Wolfe,Male,10,Nursery 1,67,64,67,91.43,Satisfactory
STU0012,Matthew Moore,Female,7,Primary 2,59,71,47,85.26,Outstanding
STU0013,Susan Rogers,Female,3,Primary 1,84,76,89,87.44,Satisfactory
STU0014,Christopher Davis,Female,4,Primary 1,84,75,67,86.13,Good
STU0015,Melanie Munoz,Male,8,Nursery 2,52,57,76,90.92,Satisfactory
STU0016,Lindsay Blair,Female,10,Nursery 1,70,62,48,95.92,Satisfactory
STU0017,Amanda Dudley,Female,9,Primary 1,50,69,100,92.34,Satisfactory
STU0018,Nicholas Arnold,Female,4,Primary 4,74,57,50,81.74,Good
STU0019,Maria Montgomery,Male,8,KG,78,63,43,90.49,Satisfactory
STU0020,Michelle Ray,Male,9,Primary 1,62,67,67,85.8,Excellent
STU0021,Janet Williams,Female,3,Primary 2,57,60,74,82.44,Outstanding
STU0022,Jeremy Roberts,Male,4,Primary 1,64,78,75,99.93,Outstanding
STU0023,Christopher Hall,Female,4,Primary 4,92,66,72,82.82,Needs Improvement
STU0024,Craig Ramirez,Female,9,Primary 3,91,62,52,86.89,Good
STU0025,Cynthia Diaz,Female,9,Primary 4,84,65,74,93.86,Excellent
STU0026,Mitchell Clark,Male,5,KG,58,70,91,84.24,Needs Improvement
STU0027,Joseph Zuniga,Female,3,Nursery 2,84,49,57,89.99,Good
STU0028,Deborah Lynch,Male,6,Nursery 1,92,42,99,96.88,Excellent
STU0029,George Daniel,Male,6,KG,98,92,86,94.86,Good
STU0030,Frank Gray,Female,5,Primary 1,68,50,84,98.63,Outstanding
STU0031,Veronica Bowman,Female,9,Nursery 1,72,42,41,94.93,Excellent
STU0032,Angela Cohen,Female,5,Nursery 2,61,87,42,95.43,Satisfactory
STU0033,Megan Parsons,Male,3,Primary 4,67,59,58,84.37,Outstanding
STU0034,Jeremy Johnson,Male,4,KG,51,49,88,94.62,Outstanding
STU0035,Leslie Adams,Male,4,Primary 2,97,67,58,83.42,Needs Improvement
STU0036,Jason Hahn,Female,6,KG,46,66,42,83.58,Needs Improvement
STU0037,Nancy Edwards,Female,10,Primary 2,58,100,62,94.3,Excellent
STU0038,Diana Foster,Male,10,KG,51,70,57,90.05,Satisfactory
STU0039,Robin Ellis,Female,9,KG,88,74,84,92.0,Good
STU0040,Joseph Wright,Male,4,Primary 4,42,95,60,97.37,Satisfactory
STU0041,Anna Baker,Male,6,Primary 3,49,53,60,92.28,Satisfactory
STU0042,Brenda Hurst,Male,10,Primary 1,85,62,88,84.82,Satisfactory
STU0043,Reginald Robinson,Female,4,KG,44,85,86,86.89,Outstanding
STU0044,Whitney Hicks,Male,10,Nursery 1,50,73,78,98.07,Excellent
STU0045,Christopher Williams,Female,3,Primary 2,43,59,88,95.8,Needs Improvement
STU0046,Daniel Burton,Female,7,Nursery 1,69,58,70,91.02,Needs Improvement
STU0047,Laura Henderson,Female,9,Nursery 2,58,42,60,83.34,Outstanding
STU0048,Bryan James,Female,5,Primary 1,87,55,97,99.81,Good
STU0049,Wendy Rice,Female,8,Nursery 2,59,72,63,91.59,Excellent
STU0050,Tasha Valencia,Female,6,KG,86,60,62,85.14,Excellent
STU0051,Alexander Le,Male,9,Primary 3,58,64,66,86.27,Satisfactory
STU0052,Erin Herrera,Female,10,Nursery 1,80,99,71,93.25,Satisfactory
STU0053,Joseph Davidson,Male,7,Primary 4,56,86,73,84.01,Satisfactory
STU0054,Daniel Graham,Female,7,Nursery 2,43,72,52,86.29,Excellent
STU0055,Shawn Mckay,Male,3,Nursery 2,56,69,51,85.22,Excellent
STU0056,Nancy Baker,Male,3,Primary 1,96,100,81,84.66,Outstanding
STU0057,Vincent White,Male,9,Primary 3,43,87,79,85.55,Excellent
STU0058,Rita Harrell,Male,8,Primary 2,73,40,60,83.61,Excellent
STU0059,Kenneth Fowler,Female,7,Primary 1,62,56,81,85.2,Satisfactory
STU0060,Chelsea Hernandez,Male,5,Nursery 1,71,51,64,90.04,Satisfactory
STU0061,Kathryn Ryan,Male,10,KG,80,78,49,98.69,Good
STU0062,Kimberly Moreno,Male,6,Primary 4,75,43,76,96.12,Good
STU0063,Aaron Nguyen,Female,6,Primary 2,96,46,46,95.32,Satisfactory
STU0064,Andrew Hickman,Male,7,Nursery 2,99,86,54,99.4,Excellent
STU0065,Natasha Decker,Male,3,KG,44,41,77,85.28,Needs Improvement
STU0066,Kyle Brown,Male,4,Primary 1,65,89,83,83.62,Needs Improvement
STU0067,Natalie Arroyo,Female,10,Nursery 1,43,86,62,88.04,Excellent
STU0068,Christopher Tucker,Male,4,Primary 1,86,43,97,81.0,Outstanding
